n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
221,0,221,False,9
408,0,408,False,12
229,0,229,False,1
184,0,184,False,13
266,0,266,False,50
37,0,37,False,12
1156,0,1156,False,336
319,0,319,False,40
147,0,147,False,53
508,0,508,False,51
1002,0,1002,False,292
338,0,338,False,37
1175,0,1175,False,507
276,0,276,False,35
180,0,180,False,3
219,0,219,False,2
259,0,259,False,13
530,0,530,False,180
413,0,413,False,38
760,0,760,False,282
426,0,426,False,20
249,0,249,False,27
231,0,231,False,51
672,0,672,False,77
326,0,326,False,9
740,0,740,False,123
968,0,968,False,273
775,0,775,False,284
809,0,809,False,125
257,0,257,False,12
842,0,842,False,240
122,0,122,False,1
1165,0,1165,False,183
396,0,396,False,25
305,0,305,False,35
274,0,274,False,10
1104,0,1104,False,386
359,0,359,False,11
662,0,662,False,95
137,0,137,False,19
291,0,291,False,34
549,0,549,False,129
533,0,533,False,89
200,0,200,False,1
363,0,363,False,64
245,0,245,False,13
281,0,281,False,34
241,0,241,False,5
354,0,354,False,9
1046,0,1046,False,105
1135,0,1135,False,235
72,0,72,False,17
717,0,717,False,263
946,0,946,False,120
349,0,349,False,49
1115,0,1115,False,325
174,0,174,False,7
212,0,212,False,7
315,0,315,False,40
1044,0,1044,False,345
1157,0,1157,False,412
557,0,557,False,73
145,0,145,False,17
527,0,527,False,65
697,0,697,False,69
790,0,790,False,72
499,0,499,False,93
464,0,464,False,27
81,0,81,False,19
716,0,716,False,219
53,0,53,False,9
667,0,667,False,169
368,0,368,False,31
572,0,572,False,84
360,0,360,False,9
746,1,745,True,399
325,0,325,False,7
629,0,629,False,74
516,0,516,False,58
575,0,575,False,79
824,0,824,False,274
394,0,394,False,56
170,0,170,False,8
1603,0,1603,False,317
855,0,855,False,125
158,0,158,False,68
1057,0,1057,False,98
699,0,699,False,196
498,0,498,False,29
714,0,714,False,180
800,0,800,False,126
1100,0,1100,False,273
925,0,925,False,164
69,0,69,False,19
340,0,340,False,44
1947,0,1947,False,521
1240,0,1240,False,104
215,0,215,False,2
555,0,555,False,220
363,0,363,False,30
805,0,805,False,185
206,0,206,False,6
519,0,519,False,81
316,0,316,False,44
331,0,331,False,23
505,0,505,False,54
1050,0,1050,False,95
1100,0,1100,False,101
32,0,32,False,8
452,0,452,False,53
275,0,275,False,5
362,0,362,False,10
671,0,671,False,263
666,0,666,False,98
642,0,642,False,79
269,0,269,False,11
96,0,96,False,41
254,0,254,False,2
424,0,424,False,11
334,0,334,False,58
614,0,614,False,105
61,0,61,False,17
46,0,46,False,16
1012,0,1012,False,292
389,0,389,False,53
602,0,602,False,112
572,0,572,False,115
445,0,445,False,51
1117,0,1117,False,469
550,0,550,False,93
400,0,400,False,54
64,0,64,False,15
334,0,334,False,38
77,0,77,False,22
1227,0,1227,False,97
680,0,680,False,109
417,0,417,False,46
467,0,467,False,62
437,0,437,False,42
488,0,488,False,29
1169,0,1169,False,303
230,0,230,False,8
695,0,695,False,125
1160,0,1160,False,303
534,0,534,False,78
855,0,855,False,81
169,0,169,False,8
170,0,170,False,1
227,0,227,False,6
941,0,941,False,84
272,0,272,False,14
456,0,456,False,21
462,0,462,False,21
2183,0,2183,False,712
588,0,588,False,138
367,0,367,False,47
956,0,956,False,111
1040,0,1040,False,100
435,0,435,False,54
716,0,716,False,106
1137,0,1137,False,195
721,0,721,False,87
77,0,77,False,23
1171,0,1171,False,118
48,0,48,False,9
1949,0,1949,False,580
39,0,39,False,8
382,0,382,False,26
147,0,147,False,59
977,0,977,False,94
275,0,275,False,33
476,0,476,False,84
345,0,345,False,42
409,0,409,False,48
392,0,392,False,51
822,0,822,False,289
1117,0,1117,False,82
174,0,174,False,22
1164,0,1164,False,388
302,0,302,False,29
226,0,226,False,5
782,0,782,False,295
286,0,286,False,6
1156,0,1156,False,331
148,0,148,False,3
1112,0,1112,False,396
278,0,278,False,5
379,0,379,False,48
368,0,368,False,11
371,0,371,False,62
1316,0,1316,False,305
231,0,231,False,11
27,0,27,False,2
1272,0,1272,False,252
318,0,318,False,37
317,0,317,False,7
2745,0,2745,False,954
325,0,325,False,19
647,0,647,False,131
269,0,269,False,10
353,0,353,False,7
577,0,577,False,117
264,0,264,False,2
672,0,672,False,73
300,0,300,False,36
44,0,44,False,14
294,0,294,False,18
389,0,389,False,24
299,0,299,False,42
71,0,71,False,21
227,0,227,False,97
254,0,254,False,11
237,0,237,False,77
213,0,213,False,10
66,0,66,False,23
2224,0,2224,False,577
432,0,432,False,55
678,0,678,False,112
46,0,46,False,11
160,0,160,False,0
580,0,580,False,89
2288,0,2288,False,557
391,0,391,False,52
270,0,270,False,5
798,0,798,False,136
233,0,233,False,2
634,0,634,False,83
1150,0,1150,False,194
452,0,452,False,22
734,0,734,False,71
855,0,855,False,314
231,0,231,False,20
119,0,119,False,7
143,0,143,False,0
580,0,580,False,137
255,0,255,False,16
481,0,481,False,55
252,0,252,False,30
324,0,324,False,38
275,0,275,False,3
1135,0,1135,False,194
306,0,306,False,15
158,0,158,False,2
45,0,45,False,11
476,0,476,False,52
562,0,562,False,71
743,0,743,False,105
374,0,374,False,11
1320,0,1320,False,758
690,0,690,False,96
790,0,790,False,75
376,0,376,False,6
46,0,46,False,21
598,0,598,False,77
584,0,584,False,169
1277,0,1277,False,339
675,0,675,False,267
327,0,327,False,17
588,0,588,False,74
520,0,520,False,52
663,0,663,False,87
77,0,77,False,19
504,0,504,False,60
1640,0,1640,False,466
293,0,293,False,36
303,0,303,False,18
344,0,344,False,21
669,0,669,False,56
854,0,854,False,325
459,0,459,False,69
593,0,593,False,83
947,0,947,False,229
48,0,48,False,13
624,0,624,False,128
188,0,188,False,3
189,0,189,False,2
390,0,390,False,17
679,0,679,False,90
732,0,732,False,264
542,0,542,False,105
27,0,27,False,5
247,0,247,False,10
699,0,699,False,159
1220,0,1220,False,343
840,0,840,False,194
937,0,937,False,66
469,0,469,False,62
532,0,532,False,172
1112,0,1112,False,398
406,0,406,False,14
585,0,585,False,135
157,0,157,False,50
241,0,241,False,16
931,0,931,False,102
1022,0,1022,False,365
95,0,95,False,38
409,0,409,False,50
253,0,253,False,6
523,0,523,False,83
319,0,319,False,28
1997,0,1997,False,596
384,0,384,False,48
268,0,268,False,10
224,0,224,False,20
640,0,640,False,165
76,0,76,False,24
484,1,483,True,261
185,0,185,False,27
47,0,47,False,17
143,0,143,False,56
225,0,225,False,2
928,0,928,False,345
943,0,943,False,84
45,0,45,False,11
1111,0,1111,False,324
1010,0,1010,False,292
913,0,913,False,86
603,0,603,False,239
474,0,474,False,61
576,0,576,False,196
4450,0,4450,False,2863
30,0,30,False,7
191,0,191,False,1
562,0,562,False,68
250,0,250,False,13
807,0,807,False,103
324,0,324,False,48
391,0,391,False,45
758,0,758,False,275
769,0,769,False,303
300,0,300,False,11
358,0,358,False,22
922,0,922,False,269
46,0,46,False,13
832,0,832,False,114
43,0,43,False,10
825,0,825,False,266
393,0,393,False,52
386,0,386,False,47
1818,0,1818,False,745
289,0,289,False,17
274,0,274,False,4
1060,0,1060,False,58
561,0,561,False,76
216,0,216,False,11
526,0,526,False,64
341,0,341,False,21
701,0,701,False,120
168,0,168,False,0
307,0,307,False,5
486,0,486,False,67
232,0,232,False,1
266,0,266,False,29
674,0,674,False,75
198,0,198,False,7
490,0,490,False,48
491,0,491,False,59
285,0,285,False,4
1036,0,1036,False,93
360,0,360,False,46
387,0,387,False,24
393,0,393,False,65
447,0,447,False,36
343,0,343,False,48
758,0,758,False,182
226,0,226,False,7
312,0,312,False,43
167,0,167,False,15
1208,0,1208,False,423
570,0,570,False,145
212,0,212,False,10
247,0,247,False,27
695,0,695,False,127
649,0,649,False,115
50,0,50,False,16
1055,0,1055,False,87
161,0,161,False,5
663,0,663,False,92
57,0,57,False,0
67,0,67,False,15
797,0,797,False,102
758,0,758,False,62
93,0,93,False,37
754,0,754,False,285
197,0,197,False,0
417,0,417,False,18
176,0,176,False,6
253,0,253,False,31
255,0,255,False,10
726,0,726,False,100
139,0,139,False,4
2305,0,2305,False,573
36,0,36,False,12
147,0,147,False,1
219,0,219,False,8
398,0,398,False,31
657,0,657,False,137
399,0,399,False,104
340,0,340,False,72
473,0,473,False,30
639,0,639,False,158
701,0,701,False,100
662,0,662,False,223
311,0,311,False,42
439,0,439,False,57
471,0,471,False,30
2046,0,2046,False,1054
713,0,713,False,265
344,0,344,False,62
680,0,680,False,119
517,0,517,False,53
772,0,772,False,206
497,0,497,False,53
93,0,93,False,30
293,0,293,False,29
532,0,532,False,110
52,0,52,False,17
653,0,653,False,256
43,0,43,False,13
215,0,215,False,21
220,0,220,False,2
695,0,695,False,121
375,0,375,False,47
675,0,675,False,117
545,0,545,False,83
58,0,58,False,15
249,0,249,False,15
148,0,148,False,3
