n_puntos,ya_ordenado,n_inversiones,n_empates_temporales,frac_inversiones
301,True,0,29,0.0
1054,True,0,592,0.0
174,True,0,18,0.0
753,True,0,270,0.0
1164,True,0,390,0.0
780,True,0,112,0.0
1253,True,0,132,0.0
308,True,0,34,0.0
2195,True,0,572,0.0
271,True,0,23,0.0
863,True,0,240,0.0
286,True,0,33,0.0
780,True,0,63,0.0
89,True,0,10,0.0
724,True,0,97,0.0
372,True,0,44,0.0
459,True,0,97,0.0
493,True,0,53,0.0
400,True,0,202,0.0
394,True,0,57,0.0
305,True,0,30,0.0
569,True,0,67,0.0
713,True,0,279,0.0
311,True,0,27,0.0
672,True,0,120,0.0
677,True,0,95,0.0
958,True,0,274,0.0
308,True,0,42,0.0
585,True,0,69,0.0
583,True,0,88,0.0
322,True,0,43,0.0
644,True,0,88,0.0
1216,True,0,324,0.0
802,True,0,115,0.0
185,True,0,3,0.0
35,True,0,8,0.0
752,True,0,66,0.0
239,True,0,13,0.0
785,True,0,139,0.0
42,True,0,10,0.0
1799,True,0,739,0.0
392,True,0,104,0.0
1148,True,0,328,0.0
1280,True,0,791,0.0
1334,True,0,318,0.0
174,True,0,9,0.0
451,True,0,39,0.0
320,True,0,16,0.0
300,True,0,24,0.0
595,True,0,96,0.0
48,True,0,14,0.0
1152,True,0,335,0.0
757,True,0,157,0.0
775,True,0,280,0.0
80,True,0,25,0.0
164,True,0,26,0.0
590,True,0,93,0.0
37,True,0,12,0.0
747,True,0,109,0.0
261,True,0,4,0.0
1292,True,0,364,0.0
421,True,0,64,0.0
437,True,0,22,0.0
714,True,0,182,0.0
594,True,0,81,0.0
46,True,0,17,0.0
46,True,0,13,0.0
94,True,0,44,0.0
297,True,0,41,0.0
1263,True,0,329,0.0
76,True,0,21,0.0
133,True,0,32,0.0
1015,True,0,93,0.0
285,True,0,21,0.0
593,True,0,137,0.0
1496,True,0,794,0.0
503,True,0,134,0.0
297,True,0,10,0.0
286,True,0,26,0.0
1155,True,0,74,0.0
78,True,0,25,0.0
698,True,0,146,0.0
109,True,0,58,0.0
938,True,0,106,0.0
285,True,0,4,0.0
463,True,0,128,0.0
403,True,0,20,0.0
589,True,0,92,0.0
401,True,0,30,0.0
341,True,0,46,0.0
33,True,0,7,0.0
31,True,0,0,0.0
258,True,0,16,0.0
1067,True,0,371,0.0
1013,True,0,89,0.0
278,True,0,14,0.0
463,True,0,25,0.0
1022,True,0,92,0.0
682,True,0,106,0.0
47,True,0,15,0.0
43,True,0,16,0.0
134,True,0,26,0.0
127,True,0,28,0.0
539,True,0,80,0.0
718,True,0,263,0.0
335,True,0,40,0.0
426,True,0,76,0.0
287,True,0,5,0.0
341,True,0,43,0.0
222,True,0,4,0.0
790,True,0,140,0.0
1212,True,0,334,0.0
227,True,0,23,0.0
147,True,0,0,0.0
705,True,0,125,0.0
588,True,0,137,0.0
984,True,0,341,0.0
81,True,0,19,0.0
1309,True,0,444,0.0
416,True,0,49,0.0
776,True,0,269,0.0
438,True,0,89,0.0
46,True,0,16,0.0
278,True,0,5,0.0
1298,True,0,326,0.0
326,True,0,8,0.0
678,True,0,79,0.0
524,True,0,81,0.0
547,True,0,100,0.0
347,True,0,17,0.0
53,True,0,15,0.0
67,True,0,0,0.0
453,True,0,22,0.0
801,True,0,113,0.0
1129,True,0,326,0.0
514,True,0,74,0.0
678,True,0,121,0.0
299,True,0,66,0.0
208,True,0,5,0.0
898,True,0,267,0.0
563,True,0,108,0.0
630,True,0,71,0.0
1086,True,0,382,0.0
1482,True,0,389,0.0
515,True,0,63,0.0
56,True,0,2,0.0
225,True,0,34,0.0
729,True,0,118,0.0
710,True,0,103,0.0
1095,True,0,253,0.0
522,True,0,80,0.0
579,True,0,114,0.0
687,True,0,218,0.0
47,True,0,10,0.0
757,True,0,270,0.0
1085,True,0,173,0.0
761,True,0,254,0.0
147,True,0,1,0.0
463,True,0,48,0.0
653,True,0,119,0.0
241,True,0,11,0.0
53,True,0,10,0.0
1225,True,0,298,0.0
1174,True,0,503,0.0
204,True,0,1,0.0
542,True,0,78,0.0
438,True,0,54,0.0
115,True,0,15,0.0
420,True,0,57,0.0
698,True,0,95,0.0
580,True,0,144,0.0
273,True,0,5,0.0
173,True,0,7,0.0
1226,True,0,846,0.0
880,True,0,252,0.0
315,True,0,37,0.0
411,True,0,67,0.0
223,True,0,3,0.0
409,True,0,48,0.0
518,True,0,36,0.0
520,True,0,87,0.0
653,True,0,249,0.0
602,True,0,73,0.0
331,True,0,24,0.0
50,True,0,15,0.0
332,True,0,22,0.0
94,True,0,41,0.0
636,True,0,107,0.0
312,True,0,40,0.0
91,True,0,23,0.0
643,True,0,81,0.0
352,True,0,8,0.0
734,True,0,410,0.0
695,True,0,124,0.0
396,True,0,57,0.0
426,True,0,41,0.0
296,True,0,30,0.0
348,True,0,42,0.0
699,True,0,64,0.0
378,True,0,34,0.0
472,True,0,79,0.0
801,True,0,104,0.0
1060,True,0,100,0.0
1149,True,0,197,0.0
318,True,0,9,0.0
265,True,0,23,0.0
77,True,0,18,0.0
368,True,0,25,0.0
644,True,0,256,0.0
753,True,0,104,0.0
268,True,0,23,0.0
654,True,0,96,0.0
50,True,0,16,0.0
197,True,0,39,0.0
910,True,0,323,0.0
304,True,0,35,0.0
481,True,0,46,0.0
284,True,0,36,0.0
286,True,0,32,0.0
944,True,0,107,0.0
1651,True,0,465,0.0
1258,True,0,106,0.0
